name,vocab_size,total_params,emb_params,trans_params,emb_pct,trans_pct,n_embd,n_layer,token_perplexity,bits_per_byte,bits_per_char,tokens_per_byte,tokens_per_char,scored_tokens,raw_bytes,raw_chars,expansion_ratio
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,56.96087657433484,1.345231249510225,1.3473500323226286,0.23111928228377748,0.23148330264317385,298354,1293436,1291402,1.0
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,70.41981710466897,1.4158179247918365,1.418047883905286,0.23111928228377748,0.23148330264317385,298354,1293436,1291402,1.0
