name,vocab_size,total_params,emb_params,trans_params,emb_pct,trans_pct,n_embd,n_layer,token_perplexity,bits_per_byte,bits_per_char,tokens_per_byte,tokens_per_char,scored_tokens,raw_bytes,raw_chars,expansion_ratio
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,263.8983871528437,1.8510174570777747,1.858448973994711,0.23056660430455767,0.2314922895885176,585480,2544280,2534106,1.0
K50K,47181,64549536,28686048,35863488,44.44036282460652,55.55963717539348,608,8,368.3218757966885,1.9616997859876288,1.9695756734298426,0.23056660430455767,0.2314922895885176,585480,2544280,2534106,1.0
K10K,10002,63520800,7601520,55919280,11.966977745872217,88.03302225412779,760,8,431.61147485854633,2.0143425755769075,2.0224298147705007,0.23056660430455767,0.2314922895885176,585480,2544280,2534106,1.0
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,517.0051219523398,2.074275265737146,2.082603124379843,0.23056660430455767,0.2314922895885176,585480,2544280,2534106,1.0
